players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
3,38,39,2,0,3,4,36.0,0.26,1.0,0.03,81,303,26.7,1021,206,16.7,21.9,238,55.5,42.3,518,24,4.6,37,0.97,14.3,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
1,38,46,5,2,4,1,49.2,0.24,4.2,0.11,247,639,38.7,1056,177,45.0,37.1,256,64.1,46.9,613,42,6.9,34,0.89,14.2,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
2,38,46,6,0,8,2,35.9,0.24,-8.1,-0.21,193,522,37.0,1280,179,32.1,28.8,233,47.6,39.1,476,28,5.9,33,0.87,10.6,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
3,38,55,3,0,8,1,49.1,0.26,-4.9,-0.13,317,841,37.7,846,143,69.1,54.5,298,85.9,59.7,600,34,5.7,78,2.05,10.0,/en/squads/943e8050/2020-2021/Burnley-Stats
3,38,36,3,1,5,1,31.4,0.26,-3.6,-0.1,93,253,36.8,1066,169,17.7,21.6,231,27.7,26.6,412,20,4.9,31,0.82,28.0,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
2,38,66,3,1,9,0,51.2,0.28,-14.8,-0.39,226,669,33.8,775,158,51.0,48.9,323,84.8,56.3,622,20,3.2,26,0.68,23.3,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
3,38,48,3,1,5,1,47.8,0.28,0.8,0.02,268,692,38.7,1092,177,47.6,35.6,271,63.5,47.7,560,25,4.5,35,0.92,12.3,/en/squads/d3fd31cc/2020-2021/Everton-Stats
2,38,53,7,0,3,1,54.5,0.29,2.5,0.07,150,402,37.3,800,179,32.5,30.2,258,55.0,39.5,518,27,5.2,33,0.87,14.0,/en/squads/fd962109/2020-2021/Fulham-Stats
2,38,54,8,1,11,2,49.9,0.21,-2.1,-0.06,105,319,32.9,1166,306,19.1,23.2,298,32.2,28.9,477,28,5.9,20,0.53,10.8,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
1,38,50,4,0,9,2,42.2,0.29,-5.8,-0.15,159,425,37.4,1038,181,32.1,33.2,210,43.8,37.9,484,20,4.1,19,0.5,13.6,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
3,38,42,4,1,6,0,43.9,0.29,1.9,0.05,87,237,36.7,1107,196,16.4,31.3,209,26.8,29.5,403,21,5.2,95,2.5,17.0,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
3,38,32,8,0,3,1,32.0,0.23,1.0,0.03,108,271,39.9,998,171,20.2,27.0,168,41.1,37.3,333,19,5.7,44,1.16,,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
2,38,44,4,1,9,2,39.3,0.25,-2.7,-0.07,86,266,32.3,647,154,28.1,29.7,266,31.6,29.4,479,11,2.3,47,1.24,16.8,/en/squads/19538871/2020-2021/Manchester-United-Stats
2,38,62,4,1,4,3,53.8,0.26,-5.2,-0.14,245,671,36.5,820,159,52.8,32.5,338,70.4,50.0,645,27,4.2,21,0.55,12.6,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
1,38,63,3,0,8,3,54.3,0.26,-5.7,-0.15,263,817,32.2,866,128,64.5,45.5,281,91.8,64.5,578,33,5.7,34,0.89,12.8,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
2,38,68,8,1,3,1,56.2,0.27,-10.8,-0.28,139,569,24.4,1106,159,38.4,35.3,236,61.0,41.9,507,29,5.7,45,1.18,15.6,/en/squads/33c895d4/2020-2021/Southampton-Stats
1,38,45,10,0,3,3,45.6,0.24,3.6,0.1,159,408,39.0,814,180,38.6,32.4,264,35.6,28.1,590,23,3.9,24,0.63,13.1,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
2,38,76,7,2,8,3,68.0,0.25,-5.0,-0.13,301,916,32.9,1019,183,63.7,41.8,308,86.7,57.1,670,20,3.0,38,1.0,7.0,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
2,38,47,3,0,7,4,42.0,0.27,-1.0,-0.03,250,648,38.6,780,159,54.9,40.4,296,74.3,51.4,565,26,4.6,17,0.45,10.8,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
2,38,52,7,1,9,3,46.2,0.25,-2.8,-0.07,161,389,41.4,557,156,43.1,33.2,275,54.2,36.7,577,24,4.2,12,0.32,8.7,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
2,38,57,3,0,5,0,51.1,0.35,-5.9,-0.16,309,615,50.2,792,116,53.7,40.3,306,62.1,44.8,545,19,3.5,37,0.97,14.5,/en/squads/8d6fd021/2020-2021/Alaves-Stats
2,38,42,5,1,6,1,37.5,0.29,-3.5,-0.09,206,493,41.8,817,210,36.5,26.2,270,72.2,52.2,555,24,4.3,36,0.95,30.5,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
1,38,25,1,0,5,3,33.1,0.25,11.1,0.29,202,539,37.5,709,131,49.6,39.1,294,63.6,45.9,513,14,2.7,27,0.71,15.7,/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats
2,38,38,5,1,5,2,36.0,0.24,0.0,0.0,92,207,44.4,1068,193,14.8,24.8,215,22.8,29.3,369,19,5.1,40,1.05,13.9,/en/squads/206d90db/2020-2021/Barcelona-Stats
2,38,50,8,1,4,3,46.9,0.28,-0.1,0.0,212,606,35.0,953,163,48.1,37.8,250,59.2,45.1,505,21,4.2,48,1.26,19.0,/en/squads/fc536746/2020-2021/Real-Betis-Stats
2,38,57,7,2,4,1,49.7,0.32,-6.3,-0.17,194,607,32.0,1025,156,40.0,32.7,315,62.5,46.6,553,10,1.8,45,1.18,15.7,/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats
3,38,58,9,2,4,1,53.8,0.3,-3.2,-0.09,396,998,39.7,846,72,78.7,54.1,349,95.1,65.0,606,33,5.4,26,0.68,27.0,/en/squads/ee7c297c/2020-2021/Cadiz-Stats
2,38,52,3,0,5,0,47.5,0.33,-4.5,-0.12,340,847,40.1,938,124,65.9,40.2,250,91.6,68.4,406,14,3.4,63,1.66,24.3,/en/squads/bea5c710/2020-2021/Eibar-Stats
2,38,55,6,0,6,1,58.8,0.32,4.8,0.13,267,604,44.2,1039,168,36.6,45.0,353,63.5,45.3,537,10,1.9,34,0.89,12.4,/en/squads/6c8b07df/2020-2021/Elche-Stats
2,38,43,7,0,3,3,39.7,0.29,-0.3,-0.01,370,913,40.5,863,48,80.1,51.7,263,84.4,55.4,444,17,3.8,50,1.32,18.5,/en/squads/7848bd64/2020-2021/Getafe-Stats
3,38,65,6,2,4,1,61.9,0.31,-2.1,-0.05,310,848,36.6,944,79,62.6,46.5,316,81.3,56.1,546,12,2.2,62,1.63,18.0,/en/squads/a0435291/2020-2021/Granada-Stats
2,38,53,5,1,10,2,48.2,0.29,-2.8,-0.07,188,508,37.0,1077,187,35.7,34.2,298,41.6,38.3,539,16,3.0,34,0.89,13.4,/en/squads/c6c493e6/2020-2021/Huesca-Stats
3,38,57,3,1,6,2,49.8,0.29,-5.2,-0.14,136,382,35.6,936,197,32.4,32.8,282,28.0,29.6,532,9,1.7,71,1.87,17.7,/en/squads/9800b6a1/2020-2021/Levante-Stats
3,38,48,5,0,5,2,47.0,0.3,1.0,0.03,441,996,44.3,995,92,71.5,49.5,302,94.4,61.3,600,30,5.0,76,2.0,19.4,/en/squads/03c57e2b/2020-2021/Osasuna-Stats
1,38,28,7,0,3,1,32.7,0.22,5.7,0.15,89,300,29.7,1086,243,20.6,29.6,235,32.3,36.6,472,26,5.5,44,1.16,15.7,/en/squads/53a2f082/2020-2021/Real-Madrid-Stats
1,38,38,3,0,4,1,35.0,0.3,-2.0,-0.05,204,520,39.2,998,132,38.2,35.1,217,64.1,49.7,415,9,2.2,47,1.24,17.3,/en/squads/e31d1cd9/2020-2021/Real-Sociedad-Stats
2,38,33,4,0,4,2,33.5,0.24,2.5,0.07,183,418,43.8,1012,169,29.8,29.2,228,50.9,39.7,512,30,5.9,36,0.95,11.2,/en/squads/ad2be733/2020-2021/Sevilla-Stats
2,38,53,5,3,5,2,48.2,0.24,-2.8,-0.07,291,664,43.8,871,145,49.1,41.4,338,69.8,50.4,655,11,1.7,31,0.82,19.2,/en/squads/dcc91a7b/2020-2021/Valencia-Stats
2,38,57,6,1,5,0,53.4,0.3,-3.6,-0.1,251,810,31.0,877,133,61.1,43.2,332,82.5,58.3,578,7,1.2,28,0.74,14.9,/en/squads/17859612/2020-2021/Valladolid-Stats
2,38,44,7,0,3,2,38.7,0.25,-3.3,-0.09,167,431,38.7,1098,208,26.0,30.2,304,48.0,40.5,597,28,4.7,32,0.84,13.9,/en/squads/2a8183b3/2020-2021/Villarreal-Stats
1,38,58,7,0,5,1,53.5,0.33,-3.5,-0.09,143,456,31.4,712,214,37.5,35.2,269,70.3,50.9,516,19,3.7,17,0.45,11.3,/en/squads/69236f98/2020-2021/Angers-Stats
1,38,56,7,2,6,1,48.2,0.26,-6.8,-0.18,264,610,43.3,1034,144,40.0,35.3,292,67.1,47.6,560,16,2.9,30,0.79,13.2,/en/squads/123f3efe/2020-2021/Bordeaux-Stats
2,38,66,9,1,5,2,57.5,0.27,-6.5,-0.17,195,434,44.9,1036,185,32.2,35.8,304,32.9,34.6,599,27,4.5,27,0.71,17.4,/en/squads/fb08dbb3/2020-2021/Brest-Stats
3,38,73,7,1,7,2,65.5,0.31,-5.5,-0.15,192,574,33.4,890,204,38.9,33.9,348,65.5,47.4,618,19,3.1,37,0.97,11.5,/en/squads/8dfb7350/2020-2021/Dijon-Stats
2,38,54,11,0,6,3,46.0,0.25,-5.0,-0.13,189,507,37.3,780,147,49.0,39.4,269,46.5,38.5,494,17,3.4,32,0.84,21.8,/en/squads/fd4e0f7d/2020-2021/Lens-Stats
1,38,23,1,0,7,2,28.8,0.25,7.8,0.21,123,393,31.3,826,194,30.3,31.6,240,59.6,48.7,490,27,5.5,44,1.16,17.2,/en/squads/cb188c0c/2020-2021/Lille-Stats
2,38,68,10,1,6,1,54.3,0.27,-12.7,-0.34,163,508,32.1,684,153,43.3,37.1,305,69.5,49.5,492,11,2.2,23,0.61,12.1,/en/squads/d2c87802/2020-2021/Lorient-Stats
1,38,43,5,2,4,2,36.2,0.23,-4.8,-0.13,149,338,44.1,933,186,25.9,30.2,250,38.4,35.6,499,10,2.0,60,1.58,18.3,/en/squads/d53c0b06/2020-2021/Lyon-Stats
2,38,47,3,1,7,1,40.7,0.29,-5.3,-0.14,143,491,29.1,1049,205,31.6,17.2,294,54.1,42.5,576,22,3.8,36,0.95,12.0,/en/squads/5725cc7b/2020-2021/Marseille-Stats
2,38,48,12,1,4,1,46.8,0.23,-0.2,0.0,220,566,38.9,822,210,42.0,30.0,318,69.5,51.6,591,41,6.9,49,1.29,13.4,/en/squads/f83960ae/2020-2021/Metz-Stats
3,38,42,5,1,1,1,35.5,0.3,-5.5,-0.15,154,453,34.0,1087,136,30.5,32.9,243,50.2,42.1,416,10,2.4,75,1.97,21.5,/en/squads/fd6114db/2020-2021/Monaco-Stats
2,38,62,12,0,5,2,63.1,0.27,3.1,0.08,293,634,46.2,967,221,41.8,35.5,328,70.1,50.4,587,31,5.3,18,0.47,13.4,/en/squads/281b0e73/2020-2021/Montpellier-Stats
1,38,55,10,2,7,1,51.2,0.24,-2.8,-0.07,197,640,30.8,864,131,50.1,39.9,257,80.5,54.8,507,23,4.5,36,0.95,14.8,/en/squads/d7a486cd/2020-2021/Nantes-Stats
1,38,53,7,1,11,0,50.8,0.25,-2.2,-0.06,91,286,31.8,919,180,21.1,27.2,300,30.7,32.4,572,24,4.2,20,0.53,13.1,/en/squads/132ebc33/2020-2021/Nice-Stats
1,38,71,6,1,7,0,64.1,0.29,-6.9,-0.18,254,731,34.7,1283,148,41.3,36.1,308,65.3,46.7,600,17,2.8,41,1.08,16.1,/en/squads/1cbf5f9e/2020-2021/Nimes-Stats
3,38,28,1,0,2,1,37.6,0.27,10.6,0.28,73,166,44.0,758,164,16.4,21.3,227,18.5,26.2,430,0,0.0,37,0.97,18.6,/en/squads/e2d8892c/2020-2021/Paris-Saint-Germain-Stats
2,38,50,5,0,7,1,51.4,0.27,2.4,0.06,197,655,30.1,1143,172,39.4,29.1,355,57.7,46.3,598,11,1.8,37,0.97,17.8,/en/squads/7fdd64e0/2020-2021/Reims-Stats
3,38,40,3,0,4,1,35.5,0.25,-3.5,-0.09,163,413,39.5,980,186,27.7,30.6,258,55.0,44.1,402,10,2.5,74,1.95,20.8,/en/squads/b3072e00/2020-2021/Rennes-Stats
3,38,54,6,4,6,2,42.5,0.27,-9.5,-0.25,149,452,33.0,855,185,32.7,35.0,276,62.3,48.4,513,21,4.1,20,0.53,7.7,/en/squads/d298ef2c/2020-2021/Saint-Etienne-Stats
3,38,58,6,2,7,1,50.6,0.3,-6.4,-0.17,287,638,45.0,832,153,49.2,38.9,299,76.6,54.8,527,16,3.0,15,0.39,11.9,/en/squads/c0d3eab4/2020-2021/Strasbourg-Stats
1,34,52,5,0,5,1,54.1,0.29,3.1,0.09,436,938,46.5,1698,121,45.9,38.6,250,63.2,49.1,525,17,3.2,44,1.29,16.8,/en/squads/247c4b67/2020-2021/Arminia-Stats
1,34,54,6,0,2,3,53.2,0.26,2.2,0.07,193,565,34.2,1087,214,36.6,34.1,297,56.2,44.7,619,33,5.3,36,1.06,16.0,/en/squads/0cdc4311/2020-2021/Augsburg-Stats
2,34,44,1,0,6,0,45.4,0.35,1.4,0.04,124,259,47.9,1159,190,20.3,28.8,194,12.4,26.9,361,6,1.7,105,3.09,23.6,/en/squads/054efa67/2020-2021/Bayern-Munich-Stats
2,34,46,6,0,7,1,43.4,0.28,-1.6,-0.05,137,321,42.7,945,179,24.3,29.5,233,39.1,37.3,363,12,3.3,21,0.62,16.3,/en/squads/add600ae/2020-2021/Dortmund-Stats
2,34,53,4,1,5,2,45.4,0.26,-5.6,-0.17,226,591,38.2,1118,172,41.3,34.4,278,46.4,40.9,473,15,3.2,53,1.56,15.7,/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats
2,34,52,4,2,3,2,52.6,0.28,2.6,0.08,194,615,31.5,1156,161,34.2,37.1,298,73.8,55.9,464,7,1.5,38,1.12,11.9,/en/squads/a486e511/2020-2021/Freiburg-Stats
2,34,56,6,0,6,0,45.0,0.26,-11.0,-0.32,145,373,38.9,1124,133,25.3,28.7,258,34.5,33.3,468,8,1.7,35,1.03,16.5,/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats
2,34,52,7,1,4,1,46.9,0.28,-4.1,-0.12,181,429,42.2,905,155,30.2,38.7,293,53.2,43.6,497,12,2.4,22,0.65,12.0,/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats
2,34,54,6,1,4,2,53.5,0.32,1.5,0.04,143,427,33.5,1232,195,28.7,29.9,224,33.0,31.2,443,14,3.2,56,1.65,18.3,/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats
2,34,60,8,1,5,0,54.9,0.29,-5.1,-0.15,240,541,44.4,1102,124,40.2,33.5,252,38.9,34.5,484,15,3.1,30,0.88,13.0,/en/squads/bc357bf7/2020-2021/Koln-Stats
3,34,39,1,1,0,2,37.9,0.33,0.9,0.03,162,454,35.7,1377,219,28.2,31.5,232,28.0,30.0,378,21,5.6,67,1.97,18.2,/en/squads/c7a9f859/2020-2021/Bayer-Leverkusen-Stats
2,34,56,6,1,4,1,49.5,0.27,-5.5,-0.16,136,472,28.8,883,215,37.3,35.4,277,51.6,43.8,519,35,6.7,41,1.21,14.5,/en/squads/a224b06a/2020-2021/Mainz-05-Stats
2,34,32,3,0,2,0,27.7,0.3,-4.3,-0.13,99,235,42.1,1047,176,19.6,27.7,174,17.2,25.3,328,15,4.6,67,1.97,19.7,/en/squads/acbb6a5b/2020-2021/RB-Leipzig-Stats
3,34,86,7,1,17,5,69.8,0.28,-11.2,-0.33,146,500,29.2,969,194,33.1,33.5,304,58.9,43.4,548,20,3.6,38,1.12,12.6,/en/squads/c539e393/2020-2021/Schalke-04-Stats
2,34,55,5,1,3,1,55.3,0.3,1.3,0.04,128,325,39.4,970,213,27.6,29.4,289,19.7,25.2,490,18,3.7,42,1.24,8.8,/en/squads/598bc722/2020-2021/Stuttgart-Stats
2,34,43,4,0,5,2,40.7,0.27,-0.3,-0.01,197,528,37.3,1000,117,38.2,40.4,236,61.9,43.8,423,20,4.7,21,0.62,8.6,/en/squads/7a41008f/2020-2021/Union-Berlin-Stats
1,34,57,4,0,7,3,48.7,0.28,-5.3,-0.16,211,461,45.8,863,168,37.9,33.9,281,47.7,40.8,567,17,3.0,30,0.88,14.4,/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats
2,34,37,3,1,4,1,36.1,0.26,0.1,0.0,202,490,41.2,1101,171,32.0,32.6,220,62.7,48.4,485,25,5.2,57,1.68,17.3,/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats
2,38,47,5,0,5,1,42.3,0.31,-3.7,-0.1,132,323,40.9,868,161,24.8,28.3,173,62.4,47.7,377,14,3.7,66,1.74,16.3,/en/squads/922493f3/2020-2021/Atalanta-Stats
2,38,75,4,0,9,6,63.2,0.34,-5.8,-0.15,205,583,35.2,972,187,43.4,25.6,296,54.4,41.3,639,21,3.3,24,0.63,13.0,/en/squads/4fcb34fd/2020-2021/Benevento-Stats
3,38,65,7,2,9,2,63.3,0.3,0.3,0.01,127,333,38.1,1071,209,24.6,27.6,304,23.0,23.4,562,28,5.0,39,1.03,15.0,/en/squads/1d8099f8/2020-2021/Bologna-Stats
2,38,59,5,1,9,0,59.1,0.27,0.1,0.0,201,483,41.6,756,156,39.2,33.5,312,59.9,42.5,601,20,3.3,22,0.58,14.2,/en/squads/c4260e09/2020-2021/Cagliari-Stats
3,38,92,5,2,9,2,73.4,0.32,-16.6,-0.44,210,526,39.9,1186,177,33.4,31.8,330,39.4,32.9,589,18,3.1,38,1.0,15.1,/en/squads/3074d7b1/2020-2021/Crotone-Stats
2,38,59,8,1,11,2,59.3,0.32,2.3,0.06,208,562,37.0,845,170,46.2,37.9,292,58.9,45.3,538,26,4.8,28,0.74,13.3,/en/squads/421387cf/2020-2021/Fiorentina-Stats
3,38,58,7,0,6,2,59.1,0.29,3.1,0.08,204,614,33.2,1042,168,44.0,24.4,330,47.3,37.4,621,21,3.4,26,0.68,14.5,/en/squads/658bf2de/2020-2021/Genoa-Stats
3,38,48,6,1,7,2,41.5,0.25,-4.5,-0.12,212,744,28.5,780,86,61.8,43.1,292,89.7,58.3,487,12,2.5,25,0.66,12.4,/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats
3,38,35,5,1,3,1,33.3,0.23,-0.7,-0.02,91,202,45.0,919,172,17.1,17.9,228,19.7,25.2,474,13,2.7,26,0.68,20.0,/en/squads/d609edc0/2020-2021/Internazionale-Stats
3,38,38,6,1,4,2,36.4,0.23,0.4,0.01,101,211,47.9,1064,177,16.9,26.5,268,11.6,21.6,523,13,2.5,47,1.24,16.2,/en/squads/e0652b02/2020-2021/Juventus-Stats
2,38,55,10,0,7,2,50.2,0.27,-2.8,-0.07,181,385,47.0,1236,174,28.2,30.8,236,15.7,22.7,491,13,2.6,22,0.58,13.8,/en/squads/7213da33/2020-2021/Lazio-Stats
2,38,41,3,2,8,1,38.1,0.27,-1.9,-0.05,153,368,41.6,1002,156,28.0,19.7,252,34.5,29.4,568,29,5.1,43,1.13,8.0,/en/squads/dc56fe14/2020-2021/Milan-Stats
2,38,41,5,1,3,1,40.1,0.29,0.1,0.0,92,196,46.9,923,147,18.2,24.9,225,12.4,19.2,433,23,5.3,24,0.63,13.1,/en/squads/d48ad4ff/2020-2021/Napoli-Stats
2,38,83,3,0,10,3,61.2,0.31,-18.8,-0.49,315,584,53.9,1189,188,39.2,34.4,302,39.1,35.4,646,16,2.5,24,0.63,13.9,/en/squads/eab4234c/2020-2021/Parma-Stats
3,38,55,5,2,5,3,46.8,0.25,-5.2,-0.14,122,323,37.8,986,201,25.4,30.9,221,33.0,32.4,386,12,3.1,55,1.45,18.3,/en/squads/cf74a709/2020-2021/Roma-Stats
2,38,54,7,1,6,1,52.1,0.25,-0.9,-0.02,214,548,39.1,1013,187,37.6,35.0,266,62.8,44.9,580,12,2.1,35,0.92,14.8,/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats
2,38,56,4,0,4,1,53.7,0.27,-1.3,-0.03,118,320,36.9,1103,174,24.3,27.7,273,19.0,22.0,528,27,5.1,35,0.92,15.1,/en/squads/e2befd26/2020-2021/Sassuolo-Stats
3,38,72,9,1,6,0,63.8,0.31,-8.2,-0.22,234,625,37.4,1609,188,33.3,33.1,205,43.9,40.2,407,16,3.9,60,1.58,17.8,/en/squads/68449f6d/2020-2021/Spezia-Stats
3,38,69,9,1,6,0,56.0,0.3,-13.0,-0.34,190,495,38.4,897,130,38.0,33.6,309,49.8,38.4,569,12,2.1,31,0.82,14.6,/en/squads/105360fe/2020-2021/Torino-Stats
4,38,58,14,2,2,0,56.4,0.27,-1.6,-0.04,181,411,44.0,810,182,36.3,29.4,274,42.7,35.3,533,26,4.9,18,0.47,11.0,/en/squads/04eea015/2020-2021/Udinese-Stats
